Artist	Date	Titre	D1	D2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Constantinople. Mme Annette Langerrois 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Vieux Kaire. Soliman Pacha et ses enfans 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Ayoucha assise 	9.5	12.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Alep. Mme Virginie Vincent 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Kaire. Perron et sa famille 	9.5	12.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Samarie. Eglise. Chap. Int. 	8.5	5.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Magnésie. Moulins 	8.5	7.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1844	Liban. 1844. Les cèdres. 248 	18.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Alexandrie 	9.5	8.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Philé. Rochers 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Arbre et falaise aux Tuaires. 1841] 	10.5	8.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1844	Liban. Les cèdres 	5.2	8.7
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Dendérah. Palmiers Doûme 	7.2	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1841-1848	[Chalet en bois du domaine des Tuaires] 	5.5	7.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1844	Assouan. Jeune Nubienne. 226 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Tripoli. La ville 	7.0	8.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1840	[Autoportrait présumé] 	12.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Rosette. 1842. Maison. 149 	23.5	18.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Milet. 1843. Théâtre 	9.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1843	Djebel Selseleh. Temple. 246 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Scutari. Rue montante 	8.2	9.5
